Pto. El Espinillo	埃尔埃斯皮尼约村
Puente Internacional Tancredo Neves	坦克雷多内韦斯国际桥
Puerto Iguazú	伊瓜苏港口村
Pt. Península	半岛港口
Planchada Banderita	普兰查达-班德里塔村
I. San Martín	圣马丁岛
I. San Agustín	圣阿古斯丁岛
Pt. Paulito	保利托港口
Pt. Yacuy	亚奎山口
Pt. Canoas	卡诺阿斯港口
Parque Nacional y Reserva Nacional Iguazú	伊瓜苏国家保护公园
Remanso Yacaré	雷曼索亚卡雷
Paisaje Protegido Lago Urugua-í	乌鲁瓜伊湖保护区
Bella Vista	贝亚比斯塔村
Pt. Errecaborde	埃雷卡沃尔德山口
Domingo M. de Irala	多明各德伊拉拉镇
Puerto Libertad	自由港村
Mina de Wanda	米纳德万达矿
I. Paranambú	帕拉南布岛
Pt. Segundo	塞贡多港口
Alto Paraná S.A.	阿尔托巴拉那公司
Libertad Wanda	利韦尔塔德万达村
Va. Carter	卡尔特尔村
Cnia. Wanda	万达移民村
Tirica	蒂里卡村
Cnia. J. J. Lanusse	拉努塞移民村
A. Deseado	德塞阿多溪
R. San Antonio	圣安东尼奥河
A. de las Antas	安塔斯溪
Parque Pcial. Ing. Agrónomo Roberto Cametti	阿格罗诺莫·罗韦尔托·卡梅蒂工程师省级公园
Grupo de I. Grande	格兰德岛群
I. Pesqueira	佩斯克伊拉岛
Pt. Cmte. Andresito	安德雷西托少校港口
Puente Internacional Comandante Andresito	安德雷西托少校国际桥
Parque Pcial. Yacuy	亚奎省级公园
Reserva de Uso Múltiple Florencio de Basaldúa	弗洛伦西奥-德巴萨尔杜阿多用途保护区
Andresito o Comandante Andrés Guacurarí	安德雷西托村（安德烈斯瓜库拉里少校村）
Caburé-í	卡夫雷伊村
Parque Pcial. Gpque. Horacio Foerster	格普克-奥拉西奥-福埃尔斯特尔省级公园
Nuevo Horizonte	新奥里松特村
Colonia Soberanía	科洛尼亚-索韦拉尼亚
Integración	因特格拉西翁镇
Deseado	德塞阿多村
Sa. de la Victoria	维多利亚山脉
Co. Melena	梅莱纳山
Parque Provincial Urugua-í	乌鲁瓜伊省级公园
Piñalito Norte	北皮尼亚利托镇
Cap. P. Giachino(Ex. Dos Hermanas)	希亚奇诺上尉镇（旧两姐妹镇）
Co. Bella Vista	贝亚比斯塔山
San Martín	圣马丁
Reserva Natural Nacional Estricta San Antonio	埃斯特里科塔-圣-安东尼奥国家自然保护区
Paraje Verde	帕拉赫贝尔德村
Co. Tridente	特里登特山
Co. Sierra Nevada	雪山山脉
Cbre. del Laudo	劳多山峰
Co. Laguna Escondida	拉古纳-埃斯孔迪达山
Sa. Aguas Dulces	阿瓜斯杜尔塞斯山脉
Pampa de los Bayos	巴约斯草原
Co. Manantiales	马南蒂亚莱斯山
Co. Aguas Dulces	阿瓜斯杜尔塞斯山
Q. Aguas Dulces	阿瓜斯杜尔塞斯溪
Salar de Antofalla	安托法亚盐湖
Vega Aguas Dulces	阿瓜斯杜尔塞斯河滩
Salar de la Mina	米纳盐湖
Co. El Borito	埃尔博里托山
Vega El Borito	埃尔博里托河滩
Filo Negro	内格罗山脊
Co. Blanco	布兰科山
Co. Cueros de Purulla	库埃罗斯-德普鲁亚山
Vega Aguas Blancas	阿瓜斯布兰卡斯河滩
Co. Chascón	查斯孔山
Lag. del Peinado	佩纳多湖
Co. Peinado	佩纳多山
Co. El Cóndor	埃尔孔多尔山
Lag. Purulla	普鲁亚湖
Peñón al Norte del Falso Azufre	法尔索阿苏夫雷北部山
Co. Dos Conos	多斯科诺斯山
Cbre. de la Línea	利内阿山峰
Cordillera de San Buenaventura	圣布埃纳文图拉山脉
Co. Pabellón	帕韦永山
Co. Chucula	丘库拉山
Port. de San Buenaventura	圣布埃纳文图拉山口
Po. de San Francisco	圣弗朗西斯科山口
Co. de San Francisco	圣弗朗西斯科山
Las Grutas	拉斯格鲁塔斯村
Vega de San Francisco	圣弗朗西斯科河滩
Los Pelados	洛斯佩拉多斯
Co. Morocho	莫罗乔山
Quisto	基斯托
Q. de Gaspar	加斯帕尔溪
Palca	帕尔卡
Po. de Incahuasi	因卡瓦西山口
Co. de Incahuasi	因卡瓦西山
Co. El Fraile	埃尔夫赖莱山
Co. El Muerto	埃尔穆埃尔托山
Co. Ojos del Salado	奥霍斯-德尔萨拉多山
Ag. Vega de Piedra	贝加德彼德拉
Vn. Negro	内格罗火山
R. de las Peladas	佩拉达斯河
R. de las Lozas	洛塞斯河
Ag. del Médano	梅达诺
Vn. Rojo	罗霍火山
Co. del Nacimiento	纳西缅托山
Co. Bayo	巴约山
Co. Agua Caliente	阿瓜卡连特山
Co. Lampallo	兰帕约山
Mo. Rasguido	拉斯基多山
Ag. Lampallo	兰帕约
Tambería	坦贝里亚
R. del Cazadero	卡萨德罗河
Ag. Tambillo	坦比约
Quemadito	基马迪托
Las Pilanchadas	皮兰查达斯山脉
Las Lozas	拉斯洛萨斯
Lampallo	兰帕约
R. Colorado	科洛拉多河
R. Abajo	阿瓦霍河
Co. Colorado	科洛拉多山
Co. Ojo de San Antonio	奥霍-德圣安东尼奥山
Gazadero Grande	大加萨德罗
El Lindero	埃尔林德罗
Las Planchadas	拉斯普兰查达斯
Co. Solo	索洛山
Co. Tres Cruces	特雷斯克鲁塞斯山
Co. Puntiagudo y Lamas	蓬蒂亚古多和拉马斯山
Port. de los Patos	帕托斯山口
Po. de la Aguita	阿吉塔山口
Co. de los Patos o Tres Quebradas	帕托斯山（特雷斯克夫拉达斯山）
Po. Tres Quebradas o Toro Muerto	特雷斯克夫拉达斯山口（托罗穆埃尔托山口）
R. Salado	萨拉多河
Campo Negro	内格罗平原
Lag. de la Salina o Tres Quebradas	萨利纳湖（特雷斯克夫拉达斯湖）
Tres Quebradas	特雷斯克夫拉达斯
Salina de la Laguna Verde	拉古纳贝尔德盐湖
Co. Tres Quebradas	特雷斯-克夫拉达斯山
Port. de Valle Ancho (Norte)	北巴耶安乔山口
Port. de Valle Ancho (Sur)	南巴耶安乔山口
Port. de Río Bayo	巴约河山口
Co. Dos Hermanas(Cumbre Norte)	两姐妹山（北山峰）
Port. de Arroyo Pampa	阿罗约潘帕山口
Port. de Lagunillas	拉古尼亚斯山口
Port. Vidal Gormaz	比达尔戈尔马斯山口
Valle Ancho	巴耶安乔山谷
R. Valle Ancho	巴耶安乔河
Lag. Verde	贝尔德湖
Co. Negro de la Laguna Verde	贝尔德湖旁内格罗山
Abra del Campo Negro	坎波内格罗山口
Cerros de Lagunas Frías	拉古纳斯-夫里亚斯山
Lag. Frías	弗里亚斯湖
Lag. Amarga	阿马尔加湖
Lag. de los Aparejos	阿帕雷霍斯湖
Co. de los Aparejos	阿帕雷霍斯山
Los Aparejos	洛斯阿帕雷霍斯
Lag. de la Tunas	图纳斯湖
Co. de la Coipa	科伊帕山
Q. de la Fortuna	福尔图纳溪
R. del Rincón	林孔河
La Coipa	拉科伊帕
Co. del Matambre	马坦夫雷山
Q. Honda	翁达溪
Cortaderas	科尔塔德拉斯
Valle de Chaschuil	查斯崔尔山谷
R. Chaschuilo Guachín	查斯崔洛瓜钦河
Pastos Amarillos	帕斯托斯-阿马里约斯
Emb. Cortaderas	科尔塔德拉斯水库
El Agua Pelada	埃尔阿瓜佩拉达
La Lampaya	拉兰帕亚
La Lagunita	拉拉古尼塔
Pastos Largos	帕斯托斯-拉尔戈斯
Q. de los Negros	内格罗斯溪
Q. Colorado	科洛拉多溪
Campo de Anchoco	安乔科平原
Co. Torres	托雷斯山
La Aguadita	拉阿瓜迪塔
Co. Punta Colorada	蓬塔科洛拉达山
Agua de la Falda	阿瓜德拉法尔达
Rumi Rayana	鲁米拉亚纳
Los Jumes	洛斯胡梅斯
Agua del Cachiyuyo	阿瓜-德尔卡奇尤约
Co. Morado	莫拉多山
Salar de Incahuasi	因卡瓦西盐湖
Lag. Carachi Pampa	卡拉奇潘帕湖
Co. Incahuasi	因卡瓦西山
Alto Aguas Blancas	阿瓜斯布兰卡斯高地
Vega Carachi Pampa	卡拉奇潘帕河滩
Vn. Cachamani	卡查马尼火山
Volcanes del Jote	霍特火山
Co. El Jote	埃尔霍特山
El Jote	埃尔霍特
Campo Carachi Pampa	卡拉奇潘帕平原
Pto. Carachi Pampa	卡拉奇潘帕村
Co. Carachi Pampa	卡拉奇潘帕山
R. El Peñón	埃尔佩尼翁河
El Peñón	埃尔佩尼翁镇
A. Pánfilo	潘菲洛溪
Co. Laguna Blanca	拉古纳布兰卡山
Sierras del Jote	霍特山脉
R. Pirica	皮里卡河
Sierra Laguna Blanca	拉古纳布兰卡山脉
Filo Blanco	布兰科山脊
Port. de Robledo	罗夫莱多山口
Cto. Blanco	布兰科
Campo de Piedra Pómez	彼德拉波梅斯平原
Salar Carachi Pampa	卡拉奇潘帕盐湖
Port. Curuto	库鲁托山口
Cerros de Curuto	库鲁托山
Pto. La Lagunita	拉拉古尼塔村
Pto. Agua Delgada	阿瓜德尔加达村
Co. de la Hoyada	奥亚达山
Aguada del Médano	阿瓜达-德尔梅达诺
Lag. Aguada Alumbrera	阿瓜达-阿伦布雷拉湖
Piedra Parada	彼德拉帕拉达
Punta de la Casa de Alto	蓬塔-德拉卡萨-德阿尔托
Casa Negra	卡萨內格拉
El Morterito	埃尔莫尔特里托
Co. San Buenaventura	圣布埃纳文图拉山脉
Lag. Pairique	派里克湖
Ag. de las Barrancas	巴兰卡斯
Co. Calderón	卡尔德龙山
Cerros Pelados	佩拉多斯山
Alto Agua del Pollino	阿瓜德尔波伊诺高地
El Portezuelo	埃尔-波尔特苏埃罗
El Pedernal	佩德尔纳尔村
Alto de la Quebrada Angosta	克夫拉达-安戈斯塔高地
Piedra Caída	彼德拉凯达
Co. El Delgadito	埃尔德尔加迪托山
La Mesada de los Zárate	拉梅萨达-德洛斯萨拉特村
La Ciénaga	拉谢纳加村
Agua Salada	阿瓜萨拉达村
Cerrito del Campo	塞里托德尔坎波村
La Chilca	拉奇尔卡村
La Horqueta	拉奥尔克塔村
Chuquisaca	丘基萨卡村
Las Barranquitas	拉斯巴兰基塔斯村
Pie de la Cuesta	彼德拉库埃斯塔
R. Chuquisaca	丘基萨卡河
Casa de Alto	卡萨德阿尔托村
Antinaco	安蒂纳科镇
Los Molles	洛斯莫耶斯
R. Antinaco	安蒂纳科河
Q. del Salto	萨尔托溪
Punta del Agua	蓬塔德尔阿瓜镇
El Bañado	埃尔巴尼亚多村
Bolsón de Fiambalá	博尔松-德菲安巴拉
Suripampa	苏里潘帕
R. Fiambalá	菲安巴拉河
R. Grande	格兰德河
Tatón	塔通镇
Palo Blanco	帕洛布兰科镇
Valle de Fiambalá	菲安巴拉山谷
Real de Vicente	雷阿尔德维森特
Los Nacimientos	洛斯纳西缅托斯村
La Soledad	拉索莱达德村
Aguas Calientes	阿瓜斯卡连特斯
Alto de la Quebrada Honda	克夫拉达翁达高地
Port. del Soroche	索罗切山口
Ciénaga de Los Machos	谢纳加-德罗斯马乔斯村
Río Blanco	里奥布兰科村
Vallecito	巴耶西托山谷
Piedra Pintada	彼德拉平塔达
Chiojero	奇奥赫罗
La Estancita	拉埃斯坦西塔村
Pto. Manantial	马南蒂亚尔村
Mesada Grande	大梅萨达
Ciénaga Grande	大谢纳加村
El Salto	埃尔萨尔托
Casa del Médano	卡萨德尔梅达诺
La Sepultura	拉塞普尔图拉
Pto. Corral de Piedra	科拉尔德彼德拉村
R. Tolar	托拉尔河
Co. Negro	内格罗山
Co. Alto del Volcán	阿尔托-德尔博尔坎山
Tres Quebradas	特雷斯-克夫拉达斯
Pto. Las Lajas	拉斯拉哈斯村
Co. El Mojón	埃尔莫洪山
Q. de los Cueros	库埃罗斯溪
Co. Frailecito	弗赖莱西托山
Q. del Tolarcito	托拉尔西托溪
Sa. de Fiambalá	菲安巴拉山脉
Saujil	绍希尔镇
Guanchincito	关钦西托
Zjón. de Apocango	阿波坎戈河
Q. Sanjil	桑希尔溪
Cuesta Loro Huasi	洛罗瓦西山坡
Filo del Calvario	卡尔瓦里奥山脊
Loro Huasi o Guanchín	洛罗瓦西村（关钦村）
El Retiro	埃尔雷蒂罗村
San Pedro	圣佩德罗村
Santa Bárbara	圣巴尔瓦拉村
Fiambalá	菲安巴拉镇
Cuchiyaco	库奇亚科
Termas de Fiambalá	菲安巴拉温泉
Mina Los Adobes	洛斯阿多韦斯矿
Mina Los Ratones	洛斯拉托内斯矿
La Ramadita	拉拉马迪塔镇
Pampa Blanca	潘帕布兰卡镇
Cuesta La Agüita	拉阿圭塔山坡
El Sunchal	埃尔孙查尔
Medanitos	梅达尼托斯镇
R. Las Lajas	拉斯拉哈斯河
La Aguada de los Caballos	阿瓜达-德罗斯卡瓦约斯
Pantanos	潘塔诺斯
Punta Grande	大蓬塔
Co. Fraile	弗赖莱山
El Barrial	埃尔巴里亚尔村
Pto. Corralones	科拉洛内斯村
El Durazno	埃尔杜拉斯诺
Q. Los Torres	洛斯托雷斯溪
R. El Salitre Chico	小埃尔萨利特雷河
R. Orisco	奥里斯科河
Lag. Escondida	埃斯孔迪达湖
R. Potreto	波特雷托河
R. Aguas Calientes	阿瓜斯卡连特斯河
R. Pumahuasi	普马瓦西河
R. La Angostura	拉安戈斯图拉河
R. de la Cuesta	库埃斯塔河
Huacuma	瓦库马
Reserva Natural Integral Laguna Blanca	布兰卡湖自然综合保护区
Q. de las Cuestas	库埃斯塔斯溪
Co. Ojo del Chuscho	奥霍德尔丘斯乔山
Corral Blanco	科拉尔布兰科
Co. Huamancito	瓦曼西托山
Co. del Derrumbe	德伦韦山
Co. Lesle	莱斯莱山
Snía de Zuriara	苏里亚拉山脉
Las Cuevas	拉斯库埃瓦斯
Angostura	安戈斯图拉
R. El Bayo	埃尔巴约河
Pasto Ventura	帕斯托本图拉村
Q. de las Peñas Frías	佩尼亚斯-夫里亚斯溪
Lag. Pasto Ventura	帕斯托本图拉湖
Q. Las Barrancas	拉斯巴兰卡斯溪
Alto del Chiquerito	奇克里托高地
Nacimientos	纳西缅托斯
Vicuña Pampa	比库尼亚
Lag. Colorada	科洛拉达湖
Co. Culampaja	库兰帕哈山
Ciénaga de Vicuña Pampa	比库尼亚草原沼泽
Mina Rosario	米纳罗萨里奥矿
Mo. El Chorro	埃尔乔罗山
R. Río	里奥河
Lomita Colorada	科洛拉达山脊
Pto. El Río	埃尔里奥村
Campo de la Angostura	安戈斯托拉平原
R. de los Bayos	巴约斯河
Dirección de Agricultura de Catamarca	卡塔马尔卡农业局
Co. Punta Grande	大蓬塔山
Campo de la Laguna Blanca	布兰卡湖平原
Mo. Río	里奥山
Co. Abra de Caja	卡哈山口山
Q. Laguna Verde	拉古纳贝尔德溪
Sierra Hombre Muerto	翁布雷穆埃尔托山脉
Co. Laguna Verde	拉古纳贝尔德山
Abra de Caja	卡哈山口
La Puerta	拉普埃尔塔村
Co. Listas Negras	利斯塔斯-内格拉斯山
Co. Corralito	科拉利托山
Campo Los Pozuelos	波苏埃洛斯平原
Mo. El Aguadita	埃尔阿瓜迪塔山
Salinas Grandes	格兰德斯盐湖
Punta Negra	蓬塔內格拉
Los Borditos	洛斯博尔迪托斯
Co. Bayo Grande	大巴约山
Sierra Chango Real	钱戈雷阿尔山脉
Co. Rincón Grande	大林孔山
R. Chango Real	钱戈雷阿尔河
Mo. Ciénaga Grande	大谢纳加山
Hornito	奥尔尼托
Co. Médano Blanco	梅达诺布兰科山
R. Vicuña Pampa	比库尼亚草原河
Q. Grande	格兰德溪
Co. Sorocho	索罗乔山
La Cuesta	拉库埃斯塔村
Barranca Larga	巴兰卡拉尔加镇
Lampacillos	兰帕西约斯
Abra del Médano	梅达诺山口
El Morterito	埃尔莫尔特里托村
El Alto del Bolsón	埃尔阿尔托-德尔博尔松村
Sa. Las Cuevas	拉斯库埃瓦斯山脉
Nacimientos de San Antonio	纳西缅托斯-德圣安东尼奥
Loma Batea	巴特阿山脊
Co. Loma Corral	洛马科拉尔山
Co. Ciénaga Pelada	谢纳加佩拉达山
Pto. Laguna Helada	埃拉达湖村
Lag. Helada	埃拉达湖
R. Mesada	梅萨达河
El Campito	埃尔坎皮托河
R. de la Quebrada	克夫拉达河
La Ollita	拉奥伊塔
Quebrada Blanca	克夫拉达布兰卡
Sa. de Altohuasi	阿尔托瓦西山脉
Puerta de Corral Quemado	普埃尔塔-德科拉尔克马多镇
Jacipunco	哈西蓬科镇
El Durazno	埃尔杜拉斯诺镇
R. Durazno	杜拉斯诺河
El Trapiche	埃尔特拉皮切
Co. El Durazno	埃尔杜拉斯诺山
Casa de Äguila	卡萨德阿吉拉
R. El Río	埃尔里奥河
Q. El Tolar	埃尔托拉尔溪
Co. El Potrero	埃尔波特雷罗山
Pto. El Tío	埃尔蒂奥村
Cóndor Huasi	孔多尔瓦西镇
R. Cóndor Huasi	孔多尔瓦西河
Azampay	阿桑派
Pto. Chistín	奇斯延村
Pto. El Carrizal	埃尔卡里萨尔村
Culampajá	库兰帕哈村
Papachacra	帕帕查克拉村
R. Bolsón	博尔松河
Pto. Angostura	安戈斯图拉村
R. Las Cuevas	拉斯库埃瓦斯河
Lag. Cotagua	科塔瓜湖
El Cajón	埃尔卡洪村
Co. León Muerto	莱昂穆埃尔托山
R. Papachacra	帕帕查克拉河
R. Las Zanjas	拉斯桑哈斯河
Termas de Villavil	比亚维尔温泉
R. Corral Quemado	科拉尔克马多河
R. Villa Vil	比亚比尔河
R. Nacimientos	纳西缅托斯河
Termas Los Nacimientos	洛斯纳西缅托斯温泉
R. Hualfín	瓦尔芬河
R. Seco	塞科河
Villa Vil	比亚比尔镇
Corral Quemado	科拉尔克马多镇
Co. El Sorochal	埃尔索罗查尔山
Nacimientos de Arriba	纳溪缅托斯-德阿里瓦村
Sa. de Hualfín	瓦尔芬山脉
Los Nacimientos	洛斯纳西缅托斯镇
Hualfín	瓦尔芬镇
Establ. Intermedio de Bombeo	埃斯塔夫莱西缅托因特尔梅迪奥-德邦贝奥村
El Eje	埃尔埃赫村
San Fernando Norte	北圣费尔南多村
R. Loconte	洛孔特河
Cuesta de San Fernando	圣费尔南多山坡
La Falda	拉法尔达
San Fernando	圣费尔南多村
Pto. de la Pampa	潘帕村
Farallón Negro	法拉永内格罗镇
Q. La Cda. de La Ovejería	奥韦赫里亚峡谷溪
Co. Farallón Negro	法拉永内格罗山
Q. Cajoncito	卡洪西托溪
Pto. La Ovejería	拉奥韦赫里亚村
R. Las Morcillas	拉斯莫尔西亚斯河
R. Belén	贝伦河
R. Quillay	基亚伊河
Pto. Chaupiyacu	乔皮亚库村
Co. Pampa	潘帕山
Mo. de Ampujaco	安普哈科山
Sa. D. L. Ovejería	奥韦赫里亚山脉
Pto. Durazno	杜拉斯诺村
Port. del Río Blanco	布兰科河山口
Las Juntas	拉斯洪塔斯镇
R. Las Juntas	拉斯洪塔斯河
R. Blanco	布兰科河
R. La Aguada	拉阿瓜达河
R. Las Trancas	拉斯特兰卡斯河
Pozo de Piedra	波索的彼德拉村
Cdón de los Colorados	科洛拉多斯山
Loro Huasi	洛罗瓦西
Piedra Larga	彼德拉拉尔加村
La Toma	拉托马村
La Aguada de la Toma	拉托马旁拉阿瓜达村
Mina del Valle	巴耶矿
La Puerta de San José	拉普埃尔塔-的圣何塞镇
Belén	贝伦市
Co. Shincal	辛卡尔山
Londres	龙德雷斯镇
Aeródromo Belén	贝伦机场
El Chañaral	埃尔查尼亚拉尔村
Las Lomas	拉斯洛马斯村
La Aguada Grande	大拉阿瓜达村
Tambillos	坦比约斯村
Establ. El Viejo Sueño	埃斯塔夫莱西缅托-埃尔-别霍-苏埃尼奥村
R. Viscote	比斯科特河
R. La Talita	拉塔利塔河
R. Talamayo	塔拉马约河
R. Talayacú	塔拉亚库河
R. La Agüita	拉阿圭塔河
R. Carpintería	卡尔平特里亚河
La Ciénaga de Abajo	拉谢纳加-德阿瓦霍村
Pto. Agua Colorada	阿瓜科洛拉达村
Pto. Talamayo	塔拉马约村
Sa. de Belén	贝伦山脉
Pto. Luna Aguada	卢纳阿瓜达村
La Puntilla	拉蓬蒂亚镇
Pto. La Agüita	拉阿圭塔村
El Carrizal	埃尔卡里萨尔
Port. La Tranca	拉特兰卡山口
Q. del Cura	库拉溪
Pto. El Venado	埃尔贝纳多村
Cbre. del Venado	贝纳多山峰
Co. Overo	奥韦罗山
Co. Reventón Blanco	雷文通布兰科山
Co. Bayo Chico	巴约奇克山
Co. La Lagunilla	拉拉古尼亚山
Co. Chango	钱戈山
Aeródromo Campo Arenal	坎波阿雷纳尔机场
La Alumbrera	拉阿伦布雷拉矿
R. Jasiyae	哈西亚埃河
Co. Quemado	克马多山
Pto. Arima	阿里马村
Pto. Agua Salada	阿瓜萨拉达村
Campo Chañayaco	查尼亚亚科平原
Co. Vacacorral	巴卡科拉尔山
R. Cardones	卡尔多内斯河
Alto de las Trojas	特罗哈斯高地
Serranía del Cajón	卡洪山脉
Lag. Grande	格兰德湖
R. Mollar	莫亚尔河
Pico Colorado	科洛拉多山
Q. Larga	拉尔加溪
Filo Cuestaicabra	库埃斯泰卡夫拉山脊
A. del Cajón	卡洪溪
Co. Negro de los Balcones	内格罗-德洛斯巴尔科内斯山
Mo. Ovejería	奥韦赫里亚山
San Antonio del Cajón	圣安东尼奥-德卡洪镇
Co. Negroara	内格罗阿拉山
Pto. Peñón	佩尼翁村
Co. Abra Quebrada	阿夫拉克夫拉达山
R. Toroyacú	托罗亚库河
Q. Barro Negro	巴罗内格罗溪
Port. de Tomás	托马斯山口
Co. Quilmes o Negro de las Guayas	基尔梅斯山（内格罗-德拉斯瓜亚斯山）
Port. de Quilmes	基尔梅斯山口
Alto de Huasca Ciénaga	瓦斯卡谢纳加高地
Toroyacu	托罗亚库村
Q. Yutuyacu	尤图亚库溪
Q. Seca	塞卡溪
La Hoyada	拉奥亚达镇
Co. Pabellón de la Hoyada	帕韦永-德拉奥亚达山
Co. El Mollar	埃尔莫亚尔山
Q. Ciénaga del Medio	谢纳加-德尔梅迪奥溪
R. Ovejería	奥韦赫里亚河
Campo Saladillo	萨拉迪约平原
Q. Mishito	米西托溪
Alto del Remare	雷马雷高地
Co. La Tipa	拉蒂帕山
Co. Aguadita del Tolar	阿瓜迪塔-德尔托拉尔山
Lampacito	兰帕溪托村
Los Colorados	洛斯科洛拉多斯村
R. La Quebrada	拉克夫拉达河
Potrerillos	波特雷里约斯
Q. El Rincón	埃尔林孔溪
La Quebrada	拉克夫拉达村
Lomita de la Quebrada	克夫拉达山脊
R. Totoral	托托拉尔河
Q. de la Mesada	梅萨达溪
Fuerte Quemado	富埃尔特克马多镇
El Puesto	埃尔普埃斯托村
Las Mojarras	拉斯莫哈拉斯村
Aeród. Santa María	圣玛利亚机场
Santa María	圣玛利亚市
Lampacito	兰帕西托镇
Chañar Punco	查尼亚尔蓬科镇
Loro Huasi	洛罗瓦西镇
La Loma	拉洛马镇
San José Norte	北圣何塞镇
Famatanca	法马坦卡镇
San José Banda	圣何塞班达镇
San Jose Villa	圣何塞比亚镇
Palo Seco	帕洛塞科镇
Casa de Piedra	卡萨德彼德拉镇
Yapes	亚佩斯镇
El Desmonte	埃尔德斯蒙特镇
Andalhualá	安达尔瓦拉镇
Alto de Rumiarco	鲁米亚尔科高地
Caspichango	卡斯皮钱戈村
Mo. Ñuñorco de San Juan	纽尼奥尔科-德圣胡安山
R. Andalhualá	安达尔瓦拉河
Mo. Saracho	萨拉乔山
Santa Ana	圣安娜
Famabalasto	法马瓦拉斯托村
Q. de Macario	马卡里奥溪
Co. Trampeadero	特兰佩阿德罗山
Pto. Derrumbe	德伦贝村
Esquina Grande	大埃斯基纳村
R. Saladillo	萨拉迪约河
Sierra de Quilmes o del Cajón	基尔梅斯山脉（卡洪山脉）
Abra de Santa María	圣玛利亚山口
Port. de la Mina	米纳山口
Mo. Casial	卡西亚尔山
Agua Amarilla	阿瓜阿马里亚村
Chiñocán	奇尼奥坎村
Loma Negra	內格拉山脊
Lomita de los Pabellones	帕韦约内斯山脊
Loma Palo Marcado	帕洛马尔卡多山脊
R. Chafiñán	查菲尼扬河
Ea. Sunchoyacu	孙乔亚库庄园
Q. Loro Huasi	洛罗瓦西溪
Las Honduras Bordo de Retamal	拉斯翁杜拉斯博尔多-德雷塔马尔
Pozo de Cuero	波索德库埃罗
Paloma Yaco	帕洛马亚科村
Pto. Los Pozuelos	洛斯波苏埃洛斯村
R. El Casadero	埃尔卡萨德罗河
Campo Arenal o de Los Pozuelos	阿雷纳尔平原（波苏埃洛斯平原）
Pie de Médano	彼德梅达诺
R. Arenal	阿雷纳尔河
A. Buey Muerto	布埃穆埃尔托溪
Pto. Corral Viejo	旧科拉尔村
Mo. Blanco	布兰科山
Mo. Azul	阿苏尔山
Ampajango	安帕汉戈村
Punta de Balasto	蓬塔德巴拉斯托镇
Paianguillo	派安吉约村
R. Pajanguillo	帕汉吉约河
R. Chiflón	奇夫隆河
Pto. El Campito	埃尔坎皮托村
El Tesoro	埃尔特索罗村
Los Cerrillos	洛斯塞里约斯村
Port. de las Animas	阿尼玛斯山口
Mo. del Zarzo	萨尔索山
Sa. del Aconquija	阿孔基哈山脉
Abra del Toro	托罗山口
Cdón de las Animas	阿尼玛斯山
Co. de la Laguna Verde	拉古纳贝尔德山
Nevados del Aconquija	阿孔基哈雪山
Port. del Campo Colorado	坎波科洛拉多山口
Co. del Bolsín	博尔辛山
